пер. Автодоровский, д. 15А
пер. Автозаводской, д. 17
пер. Айвазовского, д. 14
пер. Алтайский, д. 11
пер. Ангарский, д. 35
пер. Асаналиева, д. 2
пер. Аэродромный, д. 17
пер. Базисный, д. 1
пер. Бехтерева, д. 8
пер. Болотникова, д. 14
пер. Боровецкий, д. 1
пер. Братский, д. 1
пер. Броневой, д. 15
пер. Будславский, д. 6
пер. Ватутина, д. 1
пер. Велосипедный, д. 5
пер. Верхний, д. 2
пер. Войсковый, д. 4
пер. Восточный, д. 149
пер. Встречный, д. 2
пер. Вузовский, д. 3А
пер. Высокий, д. 4
пер. Германовский, д. 18А
пер. Горный, д. 3
пер. Грибной, д. 1
пер. Денисовский, д. 18
пер. Днепровский, д. 7
пер. Добромысленский, д. 3
пер. Дубравинский, д. 1
пер. Заливной, д. 15Б
пер. Инструментальный, д. 4
пер. Иркутский, д. 1
пер. Кабушкина, д. 49
пер. Казарменный, д. 1
пер. Калинина, д. 14
пер. Калининградский, д. 7А к1
пер. Клумова, д. 1
пер. Козлова, д. 26
пер. Коллективный, д. 2
пер. Кооперативный, д. 12
пер. Корженевского, д. 2А
пер. Краснозвёздный, д. 12
пер. Кузьмы Минина, д. 28/6
пер. Кузьмы Чорного, д. 1
пер. Лазо, д. 1
пер. Липковский, д. 30
пер. Литературный, д. 3
пер. Ломоносова, д. 5
пер. Магнитный, д. 1
пер. Максима Богдановича, д. 64
пер. Мелиоративный, д. 2
пер. Михайловский, д. 2
пер. Молочный, д. 6
пер. Музыкальный, д. 5
пер. Нагорный, д. 5
пер. Неждановой, д. 5
пер. Новгородский, д. 15
пер. Обойный, д. 12
пер. Одинцова, д. 9
пер. Ольшевского, д. 18А
пер. Охотский, д. 42
пер. Полевой, д. 2А
пер. Промышленный, д. 7
пер. Путейский, д. 11
пер. Рабочий, д. 5
пер. Севастопольский, д. 14
пер. Северный, д. Мастерплюс
пер. Снежный, д. 4
пер. Солтыса, д. 5
пер. Софьи Ковалевской, д. 61
пер. Стахановский, д. 4
пер. Стебенёва, д. 16
пер. Стекольный, д. 3А
пер. Столетова, д. 3
пер. Сурикова, д. 2
пер. Тепличный, д. 30
пер. Тобольский, д. 15
пер. Товарищеский, д. 16
пер. Томский, д. 34
пер. Тучинский, д. 2
пер. Уральский, д. 9
пер. Усадебный, д. 1
пер. Ученический, д. 2
пер. Ушакова, д. 17
