Слуцкое шоссе, д. 51А
пер. Аграрный, д. 10
пер. Антоновский, д. 4
пер. Артиллеристов, д. 1
пер. Белорусский, д. 12
пер. Бирюзовый, д. 3
пер. Болотный, д. 12А
пер. Борщевской, д. 5
пер. Верхний, д. 5
пер. Весенний, д. 8
пер. Восточный, д. 8
пер. Второй, д. 2
пер. Гастелло, д. 12
пер. Георгиевский, д. 8
пер. Горный, д. 1А
пер. Грибной, д. 7
пер. Дачный, д. 4
пер. Детский, д. 11
пер. Дзержинского, д. 2А
пер. Дмитриевский, д. 3
пер. Днепровский, д. 5
пер. Дружный, д. 2
пер. Жемчужный, д. 3
пер. Живописный, д. 4
пер. Заводской, д. 2А
пер. Загородный, д. 20
пер. Замковый, д. 11
пер. Заповедный, д. 5
пер. Зеречный, д. 3
пер. Кирова, д. 4
пер. Киршовский, д. 1
пер. Ковалёва, д. 12
пер. Коммунальный, д. 1
пер. Купаловский, д. 3
пер. Ленина, д. 1
пер. Лесной, д. 4
пер. Линейный, д. 2
пер. Луговой, д. 8
пер. Майский, д. 5
пер. Минский, д. 1
пер. Мирный, д. 3
пер. Московский, д. 5
пер. Нагорный, д. 8А
пер. Новопоселковый, д. 5
пер. Новый, д. 6
пер. Озёрный, д. 137
пер. Окольный, д. 1
пер. Октябрьский, д. 11
пер. Олимпийский, д. 2
пер. Парковый, д. 2
пер. Пасхальный, д. 6
пер. Первомайский, д. 21
пер. Первый, д. 15
пер. Петровский, д. 7
пер. Печатный, д. 2
пер. Победы, д. 3
пер. Повночный, д. 9
пер. Подгорный, д. 4
пер. Подлесный, д. 9
пер. Полевой, д. 15
пер. Привокзальный, д. 8
пер. Приморский, д. 7
пер. Припятский, д. 3
пер. Птичский, д. 5
пер. Путейский, д. 5
пер. Пушкина, д. 4
пер. Рабочий, д. 1
пер. Радужный, д. 5
пер. Революционный, д. 5
пер. Речной, д. 4
пер. Рогнеды, д. 3
пер. Родниковый, д. 6
пер. Рождественский, д. 4
пер. Рублёвский, д. 8
пер. Садовый, д. 4
пер. Сиреневый, д. 4
пер. Славянский, д. 13
пер. Смолячкова, д. 8
пер. Советский, д. 1
пер. Солнечный, д. 11
пер. Строителей, д. 2
пер. Студенецкий, д. 7
пер. Тельмана, д. 1
пер. Тенистый, д. 2
пер. Тихий, д. 1
пер. Трудовой, д. 1А
пер. Тупиковый, д. 2
пер. Фрунзенский, д. 15В
пер. Хмелевский, д. 1
пер. Цветочный, д. 15
пер. Центральный, д. 4
пер. Школьный, д. 7
пер. Южный, д. 5
пер. Ясный, д. 3
тракт Меньковский, д. 5
ул. Авдеевой, д. 11
ул. Авиаторов, д. 4
ул. Авиационная, д. 8
ул. Аграрная, д. 23
ул. Агрономическая, д. 2
ул. Академика Самерсова, д. 10
ул. Академическая, д. 21
ул. Аксаковщина, д. 7
ул. Александрова Н.Н., д. 15
ул. Александровская, д. 10Б
ул. Алексеевская, д. 4
ул. Алмазная, д. 3
ул. Альсмика, д. 34
ул. Андреевская, д. 15
ул. Антоновская, д. 39
ул. Анусинская, д. 2
ул. Армейская, д. 8А
ул. Артиллеристов, д. 1
ул. Архангельская, д. 46
ул. Архитекторов, д. 9
ул. Атолинская, д. 17
ул. Афанасьева, д. 2
ул. Аэродромная, д. 17А
ул. Багряная, д. 16
ул. Базовская, д. 1А
ул. Баньковщина, д. 19
ул. Белова, д. 1
ул. Беловежская, д. 3
ул. Белорусская, д. 15
ул. Береговая, д. 4
ул. Берестовицкая, д. 1
ул. Берёзовая Роща, д. 108
ул. Берёзовая, д. 16
ул. Бирюзовая, д. 15
ул. Благодатная, д. 18
ул. Бобруйская, д. 6
ул. Богдановская, д. 25
ул. Большая Цветочная, д. 14
ул. Большое Стиклево, д. 40/2
ул. Борисовская, д. 16
ул. Боровая, д. 7
ул. Борщевской, д. 11
ул. Ботаническая, д. 32
ул. Братьев Райт, д. 1
ул. Брестская, д. 1
ул. Будённого, д. 1
ул. Василия Быкова, д. 1
ул. Васильевская, д. 48
ул. Васильковая, д. 32
ул. Вежевая, д. 2
